author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301737179/;Москва;rent;flat;12;15;1;32.6;85000;0;Хорошевский;Ходынский бульвар;2;ЦСКА
Point Estate Город;real_estate_agent;https://www.cian.ru/rent/flat/299335351/;Москва;rent;flat;6;17;4;160.0;350000;0;Якиманка; Шаболовка;23;Шаболовская
CITYZEN;real_estate_agent;https://www.cian.ru/rent/flat/301594254/;Москва;rent;flat;53;78;3;122.7;350000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302180156/;Москва;rent;flat;9;20;3;60.0;200000;0;Филевский парк;Большая Филевская ;3к3;Фили
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300472197/;Москва;rent;flat;5;5;3;72.0;280000;0;Тверской; Петровка;26С3;Пушкинская
ID 18835544;official_representative;https://www.cian.ru/rent/flat/273526190/;Москва;rent;flat;7;12;2;112.0;1400000;0;Тверской; Охотный Ряд;2;Охотный ряд
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302166164/;Москва;rent;flat;15;30;2;45.0;70000;0;Южнопортовый;Волгоградский проспект;32/5к1;Угрешская
ID 18835544;official_representative;https://www.cian.ru/rent/flat/285275570/;Москва;rent;flat;6;15;3;207.0;2000000;0;Тверской; Охотный Ряд;2;Охотный ряд
ID 18835544;official_representative;https://www.cian.ru/rent/flat/262471414/;Москва;rent;flat;3;12;3;147.0;1700000;0;Тверской; Охотный Ряд;2;Охотный ряд
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302252901/;Москва;rent;flat;2;9;3;60.0;55000;0;Гольяново;Хабаровская ;17/13;Щёлковская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301875087/;Москва;rent;flat;6;12;3;102.0;220000;0;Войковский;Ленинградское шоссе;37к1;Водный стадион
CITYZEN;real_estate_agent;https://www.cian.ru/rent/flat/301347009/;Москва;rent;flat;19;78;2;96.0;300000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/302270506/;Москва;rent;flat;1;9;2;60.0;45000;0;Коньково; Академика Капицы;32К2;Коньково
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/299744104/;Москва;rent;flat;2;6;2;69.0;210000;0;Басманный;Мясницкая ;24/7С3;Тургеневская
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301805247/;Москва;rent;flat;5;24;2;47.0;108300;0;Даниловский;Автозаводская ;23Бк2;ЗИЛ
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302190656/;Москва;rent;flat;6;17;1;45.0;70000;0;Лефортово;проезд Шелихова;9к1;Площадь Ильича
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300992899/;Москва;rent;flat;15;15;3;210.0;800000;0;Мещанский;Цветной бульвар;2;Трубная
ID 18835544;official_representative;https://www.cian.ru/rent/flat/285274355/;Москва;rent;flat;5;12;2;171.0;1800000;0;Тверской; Охотный Ряд;2;Охотный ряд
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302218104/;Москва;rent;flat;24;30;2;52.0;100000;0;Южнопортовый;Волгоградский проспект;32/3к3;Угрешская
ID 18835544;official_representative;https://www.cian.ru/rent/flat/278259141/;Москва;rent;flat;8;12;3;205.0;1800000;0;Тверской; Охотный Ряд;2;Охотный ряд
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/301395698/;Москва;rent;flat;3;13;2;93.0;350000;0;Арбат; Новый Арбат;32;Смоленская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302217024/;Москва;rent;flat;8;22;2;36.0;90000;0;Левобережный;Ленинградское шоссе;69к2;Беломорская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300328533/;Москва;rent;flat;16;29;2;70.0;250000;0;Раменки;Мосфильмовская ;74Б;Ломоносовский проспект
ID 18835544;official_representative;https://www.cian.ru/rent/flat/285274870/;Москва;rent;flat;4;12;3;170.0;1800000;0;Тверской; Охотный Ряд;2;Охотный ряд
ID 12770783;homeowner;https://www.cian.ru/rent/flat/277672464/;Москва;rent;flat;3;14;2;42.2;65000;0;Даниловский;3-й Павелецкий проезд;11А;Тульская
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/rent/flat/301299190/;Москва;rent;flat;30;73;3;220.0;800000;0;Пресненский;набережная Пресненская;8с1;Деловой центр
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302130464/;Москва;rent;flat;2;4;2;137.0;350000;0;Донской;Варшавское шоссе;9с28;Тульская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301364197/;Москва;rent;flat;3;5;2;43.4;49000;0;Коптево; Приорова;38;Красный Балтиец
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302136195/;Москва;rent;flat;14;14;3;86.0;220000;0;Таганский;Сосинская ;6;Пролетарская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302074070/;Москва;rent;flat;15;21;3;85.0;400000;0;Пресненский;Мантулинская ;9к5;Москва-Сити
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301787214/;Москва;rent;flat;2;9;1;33.7;41900;0;; Усадебный Парк;5;Филатов Луг
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301851604/;Москва;rent;flat;6;12;3;102.0;220000;0;Войковский;Ленинградское шоссе;37к1;Водный стадион
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301964701/;Москва;rent;flat;3;8;4;140.0;350000;0;Тверской;Благовещенский переулок;5;Маяковская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301681425/;Москва;rent;flat;17;33;1;35.6;60000;0;Западное Дегунино;Базовская ;15Бк2;Грачёвская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301421550/;Москва;rent;flat;13;39;3;68.0;300000;0;Дорогомилово;Поклонная ;9;Поклонная
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/299773747/;Москва;rent;flat;2;6;3;164.0;1500000;0;Хамовники;Курсовой переулок;10/1;Кропоткинская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302127146/;Москва;rent;flat;10;18;1;20.0;55000;0;Отрадное;Алтуфьевское шоссе;2К1;Владыкино
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301088593/;Москва;rent;flat;2;15;2;70.0;270000;0;Пресненский; Костикова;4к4;Улица 1905 года
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302074066/;Москва;rent;flat;3;9;3;150.0;1200000;0;Хамовники;Саввинская набережная;13;Киевская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302268713/;Москва;rent;flat;6;12;2;55.0;84000;0;Дорогомилово;Большая Дорогомиловская ;8;Киевская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300466113/;Москва;rent;flat;4;13;3;133.0;450000;0;Арбат; Новый Арбат;32;Смоленская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300893083/;Москва;rent;flat;2;5;4;160.0;300000;0;Красносельский;Мясницкая ;15;Тургеневская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/299693636/;Москва;rent;flat;8;9;1;39.5;33000;0;; Усадебный Парк;5;Филатов Луг
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301736870/;Москва;rent;flat;5;5;3;72.0;280000;0;Тверской; Петровка;26С3;Пушкинская
BY Moscow City;real_estate_agent;https://www.cian.ru/rent/flat/294466363/;Москва;rent;flat;44;78;3;123.0;430000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301385567/;Москва;rent;flat;4;9;2;60.4;55000;0;; Усадебный Парк;5;Филатов Луг
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300982056/;Москва;rent;flat;10;16;4;180.0;550000;0;Арбат; Новый Арбат;27;Смоленская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/296841508/;Москва;rent;flat;4;6;4;206.0;500000;0;Арбат;переулок Плотников;21С1;Смоленская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301809118/;Москва;rent;flat;17;33;1;32.0;59500;0;Метрогородок;Открытое шоссе;18Ак1;Бульвар Рокоссовского
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/287923367/;Москва;rent;flat;5;10;4;190.0;390000;0;Тверской;Страстной бульвар;10к1;Пушкинская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301261283/;Москва;rent;flat;3;13;2;92.0;350000;0;Арбат; Новый Арбат;32;Смоленская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302275380/;Москва;rent;flat;16;17;1;21.4;32000;0;; Александры Монаховой;87к6;Бунинская аллея
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/291008755/;Москва;rent;flat;32;50;4;181.0;450000;0;Хорошевский;Чапаевский переулок;3;Аэропорт
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/296556608/;Москва;rent;flat;6;10;2;70.0;550000;0;Тверской; Фадеева;4А;Новослободская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302080677/;Москва;rent;flat;5;9;1;33.6;40000;0;;проспект Новосередневский;17к1;Филатов Луг
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300476272/;Москва;rent;flat;15;15;3;210.0;800000;0;Мещанский;Цветной бульвар;2;Трубная
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/298229637/;Москва;rent;flat;9;16;4;170.0;1000000;0;Хамовники;Трубецкая ;12;Фрунзенская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301914259/;Москва;rent;flat;13;14;1;40.0;80000;0;Аэропорт; Черняховского;9К5;Аэропорт
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300466117/;Москва;rent;flat;6;6;4;350.0;750000;0;Якиманка; Большая Полянка;61С2;Добрынинская
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/rent/flat/300300963/;Москва;rent;flat;47;79;2;78.0;320000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302170480/;Москва;rent;flat;12;12;1;32.0;55000;0;Орехово-Борисово Южное;Каширское шоссе;65к3;Домодедовская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302091753/;Москва;rent;flat;18;28;1;33.0;78000;0;Можайский;переулок 2-й Петра Алексеева;5;Кунцевская
HYDE Residences;real_estate_agent;https://www.cian.ru/rent/flat/301809593/;Москва;rent;flat;45;68;2;75.0;250000;0;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302220244/;Москва;rent;flat;2;17;3;85.0;80000;0;; Большое Понизовье;14;Филатов Луг
HYDE Residences;real_estate_agent;https://www.cian.ru/rent/flat/301975240/;Москва;rent;flat;41;68;3;130.0;450000;0;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити
HYDE Residences;real_estate_agent;https://www.cian.ru/rent/flat/301975447/;Москва;rent;flat;40;68;3;140.0;350000;0;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301731220/;Москва;rent;flat;9;17;1;21.4;29700;0;;проспект Куприна;18к1;Бунинская аллея
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301681276/;Москва;rent;flat;5;19;1;37.4;82000;0;Можайский;Рябиновая ;3к3;Рабочий посёлок
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300023188/;Москва;rent;flat;3;8;2;76.0;540000;0;Хамовники;переулок Хилков;1;Парк Культуры
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300939365/;Москва;rent;flat;12;33;1;19.0;55000;0;Головинский;Кронштадтский бульвар;8к1;Водный стадион
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/295881498/;Москва;rent;flat;4;7;4;150.0;470000;0;Замоскворечье;Озерковская набережная;26;Новокузнецкая
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/297236224/;Москва;rent;flat;31;76;3;170.0;500000;0;Пресненский;набережная Пресненская;8с1;Деловой центр
